Gene_Locus_ID,Gene_Symbol,Gene_Function,Uniprot_ID,GO_Terms,eggNOG,COG_ID,COG_Category,KEGG_Pathway
PA4603,NA,NA,Q9HVI6,NA,NA,NA,NA,NA
PA4604,NA,NA,Q9HVI5,cytoplasm [GO:0005737]; cytosol [GO:0005829],NA,COG0523,,NA
PA4605,NA,NA,Q9HVI4,NA,NA,COG2879,,NA
PA4606,NA,NA,Q9HVI3,integral component of plasma membrane [GO:0005887]; cellular response to nutrient levels [GO:0031669]; cellular response to starvation [GO:0009267],NA,COG1966,,NA
PA4607,NA,NA,Q9HVI2,NA,NA,NA,NA,NA
PA4608,NA,NA,Q9HVI1,cyclic-di-GMP binding [GO:0035438]; second-messenger-mediated signaling [GO:0019932],NA,NA,NA,NA
PA4609,NA,NA,P96963,"ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; damaged DNA binding [GO:0003684]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; recombinational repair [GO:0000725]",NA,NA,NA,NA
PA4610,NA,NA,Q9HVI0,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,NA,NA
PA4611,NA,NA,Q9HVH9,NA,NA,COG2841,,NA
PA4612,NA,NA,G3XD34,NA,NA,COG0666,,NA
PA4613,katB,(RefSeq) catalase,Q59635,cytoplasm [GO:0005737]; periplasmic space [GO:0042597]; catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to hydrogen peroxide [GO:0042542],NA,NA,NA,"Glyoxylate and dicarboxylate metabolism, Biosynthesis of secondary metabolites, Carbon metabolism, Tryptophan metabolism, Metabolic pathways"
PA4614,NA,NA,Q9HVH7,integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; mechanosensitive ion channel activity [GO:0008381]; cellular water homeostasis [GO:0009992]; ion transport [GO:0006811],NA,COG1970,,NA
PA4615,NA,NA,Q9HVH6,aconitate hydratase activity [GO:0003994]; ferredoxin-NADP+ reductase activity [GO:0004324]; nucleotide binding [GO:0000166]; succinate dehydrogenase activity [GO:0000104]; cellular response to oxidative stress [GO:0034599]; heme catabolic process [GO:0042167],NA,COG1018,,NA
PA4616,,(RefSeq) C4-dicarboxylate-binding protein,Q9HVH5,outer membrane-bounded periplasmic space [GO:0030288]; C4-dicarboxylate transport [GO:0015740]; transmembrane transport [GO:0055085],NA,NA,NA,Two-component system
PA4617,NA,NA,Q9HVH4,cytoplasm [GO:0005737]; 23S rRNA (guanine(1835)-N(2))-methyltransferase activity [GO:0052916]; nucleic acid binding [GO:0003676],NA,COG2813,16S rRNA modification,NA
PA4618,NA,NA,Q9HVH3,NA,NA,COG1975,,NA
PA4619,NA,NA,Q9HVH2,"plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]",NA,COG2010,,"NA, NA"
PA4620,NA,NA,Q9HVH1,"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]",NA,COG2080,Non-phosphorylated Entner-Doudoroff pathway,NA
PA4621,NA,NA,Q9HVH0,iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491],NA,NA,NA,NA
PA4622,NA,NA,Q9HVG9,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA4623,NA,NA,Q9HVG8,NA,NA,NA,NA,NA
PA4624,NA,NA,Q9HVG7,cell outer membrane [GO:0009279]; type V protein secretion system complex [GO:0098046]; protein transmembrane transporter activity [GO:0008320]; protein secretion by the type V secretion system [GO:0046819]; single-species biofilm formation [GO:0044010],NA,COG2831,,NA
PA4625,NA,NA,Q9HVG6,type V protein secretion system complex [GO:0098046]; single-species biofilm formation [GO:0044010],NA,NA,NA,NA
PA4626,hprA,(RefSeq) glycerate dehydrogenase,Q9HVG5,"NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]",NA,COG1052,Pyridoxal phosphate biosynthesis,"Glycine, serine and threonine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Glyoxylate and dicarboxylate metabolism, Microbial metabolism in diverse environments, Methane metabolism"
PA4627,NA,NA,Q9HVG4,cytoplasm [GO:0005737]; 16S rRNA (guanine(1207)-N(2))-methyltransferase activity [GO:0052914]; nucleic acid binding [GO:0003676],NA,COG2813,16S rRNA modification,NA
PA4628,NA,NA,Q9HVG3,integral component of membrane [GO:0016021]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transmembrane transport [GO:0003333],NA,NA,NA,NA
PA4629,NA,NA,Q9HVG2,integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873],NA,COG2119,,NA
PA4630,NA,NA,Q9HVG1,polyketide metabolic process [GO:0030638],NA,COG5485,,NA
PA4631,NA,NA,Q9HVG0,catalytic activity [GO:0003824],NA,COG0451,,NA
PA4632,NA,NA,Q9HVF9,membrane [GO:0016020]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; proteolysis involved in cellular protein catabolic process [GO:0051603],NA,NA,NA,NA
PA4633,,(RefSeq) chemotaxis transducer,Q9HVF8,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; chemotaxis [GO:0006935]; signal transduction [GO:0007165],NA,NA,NA,"Bacterial chemotaxis, Two-component system"
PA4634,NA,NA,Q9HVF7,peptidase activity [GO:0008233]; single-stranded DNA binding [GO:0003697]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to iron ion [GO:0071281]; protein-DNA covalent cross-linking [GO:0018142],NA,COG2135,,NA
PA4635,NA,NA,Q9HVF6,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,COG1285,,NA
PA4636,NA,NA,Q9HVF5,acyltransferase activity [GO:0016746]; D-galacturonate catabolic process [GO:0019698]; D-glucuronate catabolic process [GO:0042840],NA,NA,NA,NA
PA4637,NA,NA,Q9HVF4,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA4637a,NA,NA,Q9HVF3,NA,NA,NA,NA,NA
PA4639,NA,NA,Q9HVF2,NA,NA,NA,NA,NA
PA4640,mqoB,(RefSeq) malate:quinone oxidoreductase,Q9HVF1,cytoplasm [GO:0005737]; malate dehydrogenase (menaquinone) activity [GO:0052589]; malate dehydrogenase (quinone) activity [GO:0008924]; oxidoreductase activity [GO:0016491]; ethanol oxidation [GO:0006069]; tricarboxylic acid cycle [GO:0006099],NA,COG0579,,"Pyruvate metabolism, Microbial metabolism in diverse environments, Biosynthesis of secondary metabolites, Metabolic pathways, Citrate cycle (TCA cycle), Carbon metabolism"
PA4642,NA,NA,Q9HVF0,NA,NA,NA,NA,NA
PA4643,NA,NA,Q9HVE9,NA,NA,NA,NA,NA
PA4644,NA,NA,Q9HVE8,NA,NA,NA,NA,NA
PA4645,,(RefSeq) hypoxanthine-guanine phosphoribosyltransferase,Q9HVE7,hypoxanthine phosphoribosyltransferase activity [GO:0004422]; magnesium ion binding [GO:0000287]; GMP salvage [GO:0032263]; guanine salvage [GO:0006178]; hypoxanthine metabolic process [GO:0046100]; IMP salvage [GO:0032264]; nucleoside metabolic process [GO:0009116],NA,COG0634,Purine salvage,"Metabolic pathways, Biosynthesis of secondary metabolites, Purine metabolism, Nucleotide metabolism"
PA4646,upp,(RefSeq) uracil phosphoribosyltransferase,Q9HVE6,cytoplasm [GO:0005737]; cytosol [GO:0005829]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223],NA,COG0035,Pyrimidine salvage,"Metabolic pathways, Pyrimidine metabolism, Nucleotide metabolism"
PA4647,NA,NA,Q9HVE5,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; nucleobase transmembrane transporter activity [GO:0015205],NA,COG2233,Pyrimidine degradation,NA
PA4648,NA,NA,Q9HVE4,NA,NA,COG5430,,NA
PA4649,NA,NA,Q9HVE3,NA,NA,COG5430,,NA
PA4650,NA,NA,Q9HVE2,pilus [GO:0009289]; cell adhesion [GO:0007155],NA,COG5430,,NA
PA4651,NA,NA,Q9HVE1,outer membrane-bounded periplasmic space [GO:0030288]; cell wall organization [GO:0071555],NA,NA,NA,NA
PA4652,NA,NA,Q9HVE0,cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; fimbrial usher porin activity [GO:0015473]; pilus assembly [GO:0009297],NA,NA,NA,NA
PA4653,NA,NA,Q9HVD9,NA,NA,COG5430,,NA
PA4654,NA,NA,Q9HVD8,integral component of membrane [GO:0016021]; intrinsic component of membrane [GO:0031224]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857],NA,COG2271,,NA
PA4655,hemH,(RefSeq) ferrochelatase,Q9HVD7,cytoplasm [GO:0005737]; ferrochelatase activity [GO:0004325]; metal ion binding [GO:0046872]; heme biosynthetic process [GO:0006783],NA,COG0276,Heme biosynthesis,"Biosynthesis of secondary metabolites, Porphyrin metabolism, Metabolic pathways, Biosynthesis of cofactors"
PA4656,NA,NA,Q9HVD6,catalytic activity [GO:0003824],NA,NA,NA,NA
PA4657,NA,NA,Q9HVD5,"flavin adenine dinucleotide binding [GO:0050660]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor [GO:0050664]",NA,NA,NA,NA
PA4658,NA,NA,Q9HVD4,NA,NA,NA,NA,NA
PA4659,NA,NA,Q9HVD3,"DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0789,,NA
PA4660,NA,NA,Q9HVD2,deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; FAD binding [GO:0071949]; cellular response to stimulus [GO:0051716]; nucleobase-containing compound metabolic process [GO:0006139]; protein-chromophore linkage [GO:0018298]; response to light stimulus [GO:0009416]; response to stress [GO:0006950]; UV protection [GO:0009650],NA,NA,NA,NA
PA4661,pagL,(RefSeq) lipid A 3-O-deacylase,Q9HVD1,cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; acyloxyacyl hydrolase activity [GO:0050528]; protein homodimerization activity [GO:0042803]; lipid A metabolic process [GO:0046493]; lipopolysaccharide metabolic process [GO:0008653],NA,NA,NA,Lipopolysaccharide biosynthesis
PA4662,murI,(RefSeq) glutamate racemase,Q9HVD0,amino-acid racemase activity [GO:0047661]; glutamate racemase activity [GO:0008881]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360],NA,COG0796,Mureine biosynthesis,"Metabolic pathways, D-Amino acid metabolism"
PA4663,moeB,(RefSeq) molybdopterin biosynthesis protein MoeB,Q9HVC9,cytoplasm [GO:0005737]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; nucleotidyltransferase activity [GO:0016779]; ubiquitin-like modifier activating enzyme activity [GO:0008641],NA,COG0476,Molybdopterin biosynthesis,Sulfur relay system
PA4664,NA,NA,Q9HVC8,nucleic acid binding [GO:0003676]; protein-(glutamine-N5) methyltransferase activity [GO:0102559]; protein-glutamine N-methyltransferase activity [GO:0036009]; peptidyl-glutamine methylation [GO:0018364],NA,COG2890,,NA
PA4665,NA,NA,P42806,"cytoplasm [GO:0005737]; translation release factor activity, codon specific [GO:0016149]",NA,COG0216,Translation factors,NA
PA4666,hemA,(RefSeq) glutamyl-tRNA reductase,P42807,glutamyl-tRNA reductase activity [GO:0008883]; NADP binding [GO:0050661]; protoporphyrinogen IX biosynthetic process from glutamate [GO:0019353],NA,NA,NA,"Metabolic pathways, Biosynthesis of cofactors, Microbial metabolism in diverse environments, Porphyrin metabolism, Biosynthesis of secondary metabolites"
PA4667,NA,NA,P42810,NA,NA,NA,NA,NA
PA4668,NA,NA,P42812,cell outer membrane [GO:0009279]; lipoprotein localization to outer membrane [GO:0044874]; protein localization to outer membrane [GO:0089705]; protein transport [GO:0015031],NA,NA,NA,NA
PA4669,ipk,(RefSeq) 4-diphosphocytidyl-2C-methyl-D-erythritol kinase,P42805,"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity [GO:0050515]; ATP binding [GO:0005524]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]",NA,COG1947,Isoprenoid biosynthesis,"Biosynthesis of secondary metabolites, Terpenoid backbone biosynthesis, Metabolic pathways"
PA4669.1,,(RefSeq) tRNA-Gln,NA,NA,NA,NA,NA,Aminoacyl-tRNA biosynthesis
PA4670,prs,(RefSeq) ribose-phosphate pyrophosphokinase,Q9HVC5,cytoplasm [GO:0005737]; ribose phosphate diphosphokinase complex [GO:0002189]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; nucleoside metabolic process [GO:0009116]; purine nucleotide biosynthetic process [GO:0006164]; ribonucleoside monophosphate biosynthetic process [GO:0009156],NA,COG0462,"Histidine biosynthesis, Purine biosynthesis","Metabolic pathways, Carbon metabolism, Purine metabolism, Biosynthesis of amino acids, Pentose phosphate pathway, Microbial metabolism in diverse environments, Biosynthesis of secondary metabolites"
PA4671,,(RefSeq) 50S ribosomal protein L25/general stress protein Ctc,Q9HVC4,cytosolic large ribosomal subunit [GO:0022625]; 5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],NA,COG1825,Ribosome 50S subunit,Ribosome
PA4672,NA,NA,Q9HVC3,cytoplasm [GO:0005737]; aminoacyl-tRNA hydrolase activity [GO:0004045]; translation [GO:0006412],NA,NA,NA,NA
PA4673,NA,NA,Q9HVC2,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022],NA,COG0012,,NA
PA4673.1,,(RefSeq) tRNA-Met,NA,NA,NA,NA,NA,Aminoacyl-tRNA biosynthesis
PA4674,NA,NA,Q9HVC1,DNA binding [GO:0003677],NA,NA,NA,NA
PA4675,NA,NA,Q9HVC0,intrinsic component of cell outer membrane [GO:0031230]; siderophore uptake transmembrane transporter activity [GO:0015344]; signaling receptor activity [GO:0038023]; siderophore transmembrane transport [GO:0044718]; siderophore transport [GO:0015891],NA,NA,NA,NA
PA4676,,(RefSeq) carbonic anhydrase,Q9HVB9,carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbon utilization [GO:0015976],NA,NA,NA,"Nitrogen metabolism, Metabolic pathways"
PA4677,NA,NA,Q9HVB8,cysteine-type exopeptidase activity [GO:0070004]; dipeptidase activity [GO:0016805],NA,NA,NA,NA
PA4678,NA,NA,Q9HVB7,"cytoplasm [GO:0005737]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; ribosomal-protein-alanine N-acetyltransferase activity [GO:0008999]; N-terminal peptidyl-alanine acetylation [GO:0017189]",NA,COG0456,,NA
PA4679,NA,NA,Q9HVB6,NA,NA,NA,NA,NA
PA4680,NA,NA,Q9HVB5,NA,NA,NA,NA,NA
PA4681,NA,NA,Q9HVB4,NA,NA,NA,NA,NA
PA4682,NA,NA,Q9HVB3,NA,NA,NA,NA,NA
PA4683,NA,NA,Q9HVB2,NA,NA,NA,NA,NA
PA4684,NA,NA,Q9HVB1,NA,NA,NA,NA,NA
PA4685,NA,NA,Q9HVB0,NA,NA,NA,NA,NA
PA4686,NA,NA,Q9HVA9,NA,NA,NA,NA,NA
PA4687,hitA,(RefSeq) ferric iron-binding periplasmic protein HitA,Q9HVA8,extracellular space [GO:0005615]; metal ion binding [GO:0046872]; iron ion homeostasis [GO:0055072],NA,COG1840,,ABC transporters
PA4688,hitB,(RefSeq) iron (III)-transporter permease HitB,Q9HVA7,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],NA,COG1178,,ABC transporters
PA4689,NA,NA,Q9HVA6,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA4690.1,,(RefSeq) 5S ribosomal RNA,NA,NA,NA,NA,NA,Ribosome
PA4690.2,,(RefSeq) 23S ribosomal RNA,NA,NA,NA,NA,NA,Ribosome
PA4690.3,,(RefSeq) tRNA-Ala,NA,NA,NA,NA,NA,Aminoacyl-tRNA biosynthesis
PA4690.4,,(RefSeq) tRNA-Ile,NA,NA,NA,NA,NA,Aminoacyl-tRNA biosynthesis
PA4690.5,,(RefSeq) 16S ribosomal RNA,NA,NA,NA,NA,NA,Ribosome
PA4691,NA,NA,Q9HVA5,"integral component of plasma membrane [GO:0005887]; electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors [GO:0016679]; protein repair [GO:0030091]",NA,NA,NA,NA
PA4692,NA,NA,Q9HVA4,"periplasmic space [GO:0042597]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor [GO:0016672]; protein repair [GO:0030091]",NA,COG2041,,NA
PA4693,pssA,(RefSeq) phosphatidylserine synthase,Q9HVA3,integral component of membrane [GO:0016021]; CDP-diacylglycerol-serine O-phosphatidyltransferase activity [GO:0003882]; phospholipid biosynthetic process [GO:0008654],NA,COG1183,,"Metabolic pathways, Biosynthesis of secondary metabolites, Glycerophospholipid metabolism, Glycine, serine and threonine metabolism"
PA4694,ilvC,(RefSeq) ketol-acid reductoisomerase,Q9HVA2,cytosol [GO:0005829]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099],NA,COG0059,"Isoleucine, leucine, valine biosynthesis","Biosynthesis of secondary metabolites, Pantothenate and CoA biosynthesis, 2-Oxocarboxylic acid metabolism, Metabolic pathways, Valine, leucine and isoleucine biosynthesis, Biosynthesis of amino acids"
PA4695,ilvH,(RefSeq) acetolactate synthase small subunit,Q9HVA1,cytosol [GO:0005829]; acetolactate synthase activity [GO:0003984]; acetolactate synthase regulator activity [GO:1990610]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099],NA,COG0440,"Isoleucine, leucine, valine biosynthesis","Pantothenate and CoA biosynthesis, 2-Oxocarboxylic acid metabolism, Metabolic pathways, Biosynthesis of amino acids, C5-Branched dibasic acid metabolism, Biosynthesis of secondary metabolites, Valine, leucine and isoleucine biosynthesis, Butanoate metabolism"
PA4696,ilvI,(RefSeq) acetolactate synthase 3 catalytic subunit,Q9HVA0,acetolactate synthase complex [GO:0005948]; acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099],NA,COG0028,"Isoleucine, leucine, valine biosynthesis","C5-Branched dibasic acid metabolism, Valine, leucine and isoleucine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Pantothenate and CoA biosynthesis, Biosynthesis of amino acids, 2-Oxocarboxylic acid metabolism, Butanoate metabolism"
PA4697,NA,NA,Q9HV99,NA,NA,NA,NA,NA
PA4698,NA,NA,Q9HV98,single-species biofilm formation [GO:0044010],NA,NA,NA,NA
PA4699,NA,NA,Q9HV97,NA,NA,NA,NA,NA
PA4700,mrcB,(RefSeq) penicillin-binding protein 1B,G3XD31,integral component of membrane [GO:0016021]; peptidoglycan-based cell wall [GO:0009274]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677],NA,NA,NA,"Peptidoglycan biosynthesis, Metabolic pathways"
PA4701,NA,NA,Q9HV96,NA,NA,COG0645,,NA
PA4701,NA,NA,Q9HV96,NA,NA,COG2187,,NA
PA4702,NA,NA,Q9HV95,NA,NA,COG1357,,NA
PA4703,NA,NA,Q9HV94,NA,NA,NA,NA,NA
PA4704,NA,NA,Q9HV93,cytosol [GO:0005829]; cAMP binding [GO:0030552]; DNA-binding transcription factor activity [GO:0003700],NA,COG0664,,NA
PA4705,NA,NA,Q9HV92,NA,NA,NA,NA,NA
PA4706,NA,NA,O68877,plasma membrane [GO:0005886]; ATP binding [GO:0005524],NA,NA,NA,NA
PA4707,NA,NA,Q9HV91,integral component of plasma membrane [GO:0005887]; transmembrane transporter activity [GO:0022857]; siderophore-dependent iron import into cell [GO:0033214],NA,COG0609,,NA
PA4708,NA,NA,Q9HV90,NA,NA,NA,NA,NA
PA4709,NA,NA,Q9HV89,heme binding [GO:0020037]; iron ion transport [GO:0006826],NA,NA,NA,NA
PA4710,NA,NA,Q9HV88,intrinsic component of cell outer membrane [GO:0031230]; outer membrane [GO:0019867]; heme transmembrane transporter activity [GO:0015232]; siderophore uptake transmembrane transporter activity [GO:0015344]; cellular response to iron ion [GO:0071281]; heme transport [GO:0015886]; siderophore transmembrane transport [GO:0044718],NA,NA,NA,NA
PA4711,NA,NA,Q9HV87,"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]",NA,COG2146,,NA
PA4712,NA,NA,Q9HV86,NA,NA,NA,NA,NA
PA4713,NA,NA,Q9HV85,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA4714,NA,NA,Q9HV84,NA,NA,NA,NA,NA
PA4715,NA,NA,Q9HV83,pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; biosynthetic process [GO:0009058]; nitrogen compound metabolic process [GO:0006807]; organic substance metabolic process [GO:0071704],NA,COG0436,"Isoleucine, leucine, valine biosynthesis",NA
PA4716,NA,NA,Q9HV82,cytoplasm [GO:0005737]; isomerase activity [GO:0016853]; biosynthetic process [GO:0009058],NA,NA,NA,NA
PA4717,NA,NA,Q9HV81,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA4718,NA,NA,Q9HV80,NA,NA,NA,NA,NA
PA4719,NA,NA,Q9HV79,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; adenine transmembrane transporter activity [GO:0015207]; purine nucleobase transmembrane transporter activity [GO:0005345],NA,COG2252,,NA
PA4720,NA,NA,Q9HV78,cytosol [GO:0005829]; rRNA binding [GO:0019843]; S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity [GO:0030697]; tRNA binding [GO:0000049],NA,COG2265,tRNA modification,NA
PA4721,NA,NA,Q9HV77,"DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG1489,,NA
PA4722,NA,NA,Q9HV76,pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; alpha-amino acid metabolic process [GO:1901605]; biosynthetic process [GO:0009058]; cellular amino acid metabolic process [GO:0006520],NA,COG0436,"Isoleucine, leucine, valine biosynthesis",NA
PA4723,NA,NA,G3XD14,"cytoplasm [GO:0005737]; RNA polymerase binding [GO:0070063]; zinc ion binding [GO:0008270]; negative regulation of lipid biosynthetic process [GO:0051055]; negative regulation of proteolysis [GO:0045861]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cellular respiration [GO:1901857]; positive regulation of transcription regulatory region DNA binding [GO:2000679]",NA,NA,NA,NA
PA4724,NA,NA,Q9HV75,cytosol [GO:0005829]; ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; zinc ion binding [GO:0008270]; glutamyl-tRNA aminoacylation [GO:0006424]; tRNA modification [GO:0006400],NA,COG0008,Heme biosynthesis,NA
PA4724.1,NA,NA,E1JGJ9,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA4725,NA,NA,Q9HV74,"integral component of membrane [GO:0016021]; phosphorelay sensor kinase activity [GO:0000155]; transmembrane transporter activity [GO:0022857]; negative regulation of single-species biofilm formation on inanimate substrate [GO:1900232]; phosphorelay signal transduction system [GO:0000160]; positive regulation of cell motility [GO:2000147]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0591,,NA
PA4726,cbrB,(RefSeq) two-component response regulator CbrB,Q9HV73,protein-DNA complex [GO:0032993]; ATP binding [GO:0005524]; DNA-binding transcription activator activity [GO:0001216]; transcription cis-regulatory region binding [GO:0000976]; phosphorelay signal transduction system [GO:0000160]; positive regulation of cell motility [GO:2000147]; positive regulation of proline catabolic process to glutamate [GO:2001158]; regulation of arginine catabolic process [GO:1900081]; regulation of ornithine metabolic process [GO:0090368],NA,COG2204,,Two-component system
PA4727,pcnB,(RefSeq) poly(A) polymerase,Q9HV72,ATP binding [GO:0005524]; polynucleotide adenylyltransferase activity [GO:0004652]; RNA binding [GO:0003723]; mRNA polyadenylation [GO:0006378],NA,COG0617,tRNA modification,RNA degradation
PA4728,folK,(RefSeq) 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,Q9HV71,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654],NA,COG0801,Folate biosynthesis,"Metabolic pathways, Folate biosynthesis, Biosynthesis of cofactors"
PA4729,panB,(RefSeq) 3-methyl-2-oxobutanoate hydroxymethyltransferase,Q9HV70,cytoplasm [GO:0005737]; 3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; magnesium ion binding [GO:0000287]; pantothenate biosynthetic process [GO:0015940],NA,NA,NA,"Biosynthesis of secondary metabolites, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of cofactors"
PA4730,panC,(RefSeq) pantoate--beta-alanine ligase,Q9HV69,cytosol [GO:0005829]; ATP binding [GO:0005524]; pantoate-beta-alanine ligase activity [GO:0004592]; pantothenate biosynthetic process [GO:0015940],NA,NA,NA,"beta-Alanine metabolism, Pantothenate and CoA biosynthesis, Biosynthesis of secondary metabolites, Metabolic pathways, Biosynthesis of cofactors"
PA4731,panD,(RefSeq) aspartate alpha-decarboxylase,Q9HV68,cytosol [GO:0005829]; aspartate 1-decarboxylase activity [GO:0004068]; alanine biosynthetic process [GO:0006523]; pantothenate biosynthetic process [GO:0015940],NA,NA,NA,"Pantothenate and CoA biosynthesis, Metabolic pathways, beta-Alanine metabolism, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
PA4732,pgi,(RefSeq) glucose-6-phosphate isomerase,Q9HV67,cytosol [GO:0005829]; glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]; gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096],NA,NA,NA,"Biosynthesis of nucleotide sugars, Carbon metabolism, Microbial metabolism in diverse environments, Biosynthesis of secondary metabolites, Pentose phosphate pathway, Metabolic pathways, Starch and sucrose metabolism, Glycolysis / Gluconeogenesis, Amino sugar and nucleotide sugar metabolism"
